Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Block Size,Compression Ratio
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-Without-Reordering,1157378700,100,51222,76422.0,13,0.1864970130022256
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-Without-Reordering,567568000,0,51222,75052.0,12,0.1831537230096443
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-Without-Reordering,293903500,0,51222,75136.0,11,0.18335871305298504
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-Without-Reordering,152215600,0,51222,75358.0,10,0.18390047245324276
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-Without-Reordering,89742700,0,51222,75918.0,9,0.1852670727421811
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-Without-Reordering,44904700,0,51222,78168.0,8,0.19075787747452266
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-Without-Reordering,36605900,0,51222,82764.0,7,0.20197376127445238
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-Without-Reordering,24295300,100,51222,91028.0,6,0.22214087696692827
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-Without-Reordering,20984800,0,51222,107032.0,5,0.26119636093865917
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport0.csv,REGER-Without-Reordering,23326900,0,51222,136386.0,4,0.3328306196556167
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-Without-Reordering,1184572300,0,51222,102962.0,13,0.25126410526726795
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-Without-Reordering,570647900,0,51222,102738.0,12,0.25071746515169263
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-Without-Reordering,285755400,0,51222,103076.0,11,0.25154230604037325
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-Without-Reordering,149960100,100,51222,103686.0,10,0.25303092421225254
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-Without-Reordering,84031000,0,51222,104780.0,9,0.25570067549099995
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-Without-Reordering,48129600,0,51222,106924.0,8,0.2609328023115068
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-Without-Reordering,34771400,100,51222,110756.0,7,0.27028425286009916
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-Without-Reordering,26876200,0,51222,117962.0,6,0.2878694701495451
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-Without-Reordering,21982100,100,51222,132668.0,5,0.32375736988012965
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport1.csv,REGER-Without-Reordering,27863800,0,51222,160212.0,4,0.39097458123462575
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-Without-Reordering,734026500,0,29512,43766.0,13,0.18537374627270262
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-Without-Reordering,357611000,0,29512,46336.0,12,0.19625914882081866
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-Without-Reordering,174380200,0,29512,46450.0,11,0.19674200325291408
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-Without-Reordering,95731200,0,29512,46640.0,10,0.19754676063973978
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-Without-Reordering,50766300,0,29512,47334.0,9,0.2004862428842505
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-Without-Reordering,30169400,0,29512,48294.0,8,0.20455238547031715
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-Without-Reordering,19597400,0,29512,50874.0,7,0.21548014367037138
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-Without-Reordering,15215900,0,29512,56378.0,6,0.2387926944971537
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-Without-Reordering,12438400,100,29512,66256.0,5,0.28063160748170235
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport3.csv,REGER-Without-Reordering,11671700,0,29512,82860.0,4,0.3509589319598807
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER-Without-Reordering,694627800,0,29512,58530.0,13,0.24790763079425318
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER-Without-Reordering,338800900,0,29512,61076.0,12,0.25869137977771756
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER-Without-Reordering,166770100,100,29512,61246.0,11,0.25941142586066684
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER-Without-Reordering,91020000,0,29512,61376.0,10,0.25996204933586337
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER-Without-Reordering,48701600,0,29512,62270.0,9,0.263748644619138
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER-Without-Reordering,29081400,0,29512,63494.0,8,0.268932976416373
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER-Without-Reordering,19892700,100,29512,65990.0,7,0.2795049471401464
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER-Without-Reordering,15003000,100,29512,71138.0,6,0.301309636757929
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER-Without-Reordering,15455100,100,29512,80388.0,5,0.34048861480075904
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER-Without-Reordering,11814900,0,29512,96188.0,4,0.4074105448631065
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,REGER-Without-Reordering,785540400,0,34048,54476.0,13,0.1999970629699248
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,REGER-Without-Reordering,368923000,0,34048,52884.0,12,0.19415237312030076
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,REGER-Without-Reordering,185049500,0,34048,52176.0,11,0.1915531015037594
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,REGER-Without-Reordering,104277200,100,34048,52732.0,10,0.19359433740601503
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,REGER-Without-Reordering,54812800,0,34048,53516.0,9,0.19647262687969924
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,REGER-Without-Reordering,35030800,0,34048,55136.0,8,0.20242011278195488
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,REGER-Without-Reordering,20796600,0,34048,57870.0,7,0.21245741306390978
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,REGER-Without-Reordering,15816400,0,34048,63682.0,6,0.23379493656015038
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,REGER-Without-Reordering,13640300,0,34048,75062.0,5,0.27557418937969924
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,REGER-Without-Reordering,12934100,0,34048,94248.0,4,0.34601151315789475
